"","state","2019","2024","change_2019_2024","net_change_2019_2024"
"1","Alabama",11740,17072,45.4173764906303,5332
"2","Alaska",2594,2643,1.88897455666924,49
"3","Arizona",22074,32227,45.9952885747939,10153
"4","Arkansas",8153,10672,30.8966024776156,2519
"5","California",156118,197951,26.7957570555605,41833
"6","Colorado",28829,41006,42.2387179576121,12177
"7","Connecticut",9504,12870,35.4166666666667,3366
"8","Delaware",7726,17195,122.56018638364,9469
"9","District of Columbia",3351,3944,17.6962100865413,593
"10","Florida",148711,192283,29.2997828001964,43572
"11","Georgia",48635,63843,31.2696617662177,15208
"12","Hawaii",4305,5060,17.5377468060395,755
"13","Idaho",6876,9355,36.0529377545084,2479
"14","Illinois",47253,57294,21.2494444797156,10041
"15","Indiana",16938,25777,52.1844373597827,8839
"16","Iowa",6637,8747,31.7914720506253,2110
"17","Kansas",7327,9660,31.8411355261362,2333
"18","Kentucky",10207,13968,36.8472616831586,3761
"19","Louisiana",13978,17480,25.0536557447417,3502
"20","Maine",3524,4739,34.477866061294,1215
"21","Maryland",22051,26278,19.169198675797,4227
"22","Massachusetts",21611,27130,25.5379205034473,5519
"23","Michigan",27609,35065,27.0056865514868,7456
"24","Minnesota",14859,19907,33.9726764923615,5048
"25","Mississippi",9191,12795,39.2122728756392,3604
"26","Missouri",17863,22525,26.098639646196,4662
"27","Montana",4242,6537,54.1018387553041,2295
"28","Nebraska",4805,6024,25.369406867846,1219
"29","Nevada",12631,16746,32.5785765180904,4115
"30","New Hampshire",3289,4625,40.6202493159015,1336
"31","New Jersey",32665,42078,28.8167763661411,9413
"32","New Mexico",4940,7336,48.502024291498,2396
"33","New York",97560,111908,14.7068470684707,14348
"34","North Carolina",33642,46924,39.4804113905237,13282
"35","North Dakota",2013,2521,25.2359662195728,508
"36","Ohio",26970,37833,40.2780867630701,10863
"37","Oklahoma",12744,14668,15.097300690521,1924
"38","Oregon",12763,18779,47.1362532319987,6016
"39","Pennsylvania",31118,41534,33.4725882126101,10416
"40","Rhode Island",2666,3388,27.0817704426107,722
"41","South Carolina",14696,22148,50.707675557975,7452
"42","South Dakota",2309,3176,37.5487223906453,867
"43","Tennessee",20338,27517,35.2984560920444,7179
"44","Texas",97044,136824,40.9917150983059,39780
"45","Utah",13707,17264,25.9502444006712,3557
"46","Vermont",1782,2218,24.4668911335578,436
"47","Virginia",26410,33606,27.2472548277168,7196
"48","Washington",23672,37185,57.0843190266982,13513
"49","West Virginia",2984,4234,41.8900804289544,1250
"50","Wisconsin",13098,17432,33.0890212246144,4334
"51","Wyoming",4671,11946,155.748233782916,7275
