"","year","period","estab_births","empl_births","estab_deaths","empl_deaths","date"
"5","1993","June",181000,1068,160000,908,1993-06-01
"6","1993","September",191000,1118,148000,845,1993-09-01
"7","1993","December",182000,1097,154000,881,1993-12-01
"9","1994","March",185000,1140,164000,1002,1994-03-01
"10","1994","June",196000,1198,162000,952,1994-06-01
"11","1994","September",201000,1178,156000,842,1994-09-01
"12","1994","December",192000,1123,174000,932,1994-12-01
"14","1995","March",197000,1193,161000,940,1995-03-01
"15","1995","June",193000,1191,167000,952,1995-06-01
"16","1995","September",193000,1137,168000,952,1995-09-01
"17","1995","December",195000,1151,174000,958,1995-12-01
"19","1996","March",204000,1231,173000,1042,1996-03-01
"20","1996","June",198000,1265,171000,952,1996-06-01
"21","1996","September",205000,1220,174000,1006,1996-09-01
"22","1996","December",216000,1292,175000,979,1996-12-01
"24","1997","March",211000,1276,180000,1091,1997-03-01
"25","1997","June",210000,1234,175000,982,1997-06-01
"26","1997","September",207000,1240,173000,1001,1997-09-01
"27","1997","December",2e+05,1255,189000,1139,1997-12-01
"29","1998","March",222000,1379,186000,1212,1998-03-01
"30","1998","June",226000,1342,173000,1200,1998-06-01
"31","1998","September",209000,1249,185000,1096,1998-09-01
"32","1998","December",203000,1190,188000,1072,1998-12-01
"34","1999","March",213000,1353,194000,1297,1999-03-01
"35","1999","June",219000,1318,192000,1111,1999-06-01
"36","1999","September",209000,1230,194000,1122,1999-09-01
"37","1999","December",224000,1215,189000,1091,1999-12-01
"39","2000","March",227000,1270,196000,1159,2000-03-01
"40","2000","June",218000,1149,189000,1058,2000-06-01
"41","2000","September",222000,1168,209000,1162,2000-09-01
"42","2000","December",215000,1145,204000,1103,2000-12-01
"44","2001","March",220000,1214,214000,1339,2001-03-01
"45","2001","June",217000,1160,212000,1226,2001-06-01
"46","2001","September",218000,1157,219000,1212,2001-09-01
"47","2001","December",209000,1114,208000,1135,2001-12-01
"49","2002","March",219000,1208,199000,1116,2002-03-01
"50","2002","June",228000,1202,196000,1084,2002-06-01
"51","2002","September",217000,1063,193000,1023,2002-09-01
"52","2002","December",216000,1032,2e+05,1022,2002-12-01
"54","2003","March",215000,1040,194000,1042,2003-03-01
"55","2003","June",212000,979,194000,953,2003-06-01
"56","2003","September",210000,958,191000,888,2003-09-01
"57","2003","December",218000,1013,191000,913,2003-12-01
"59","2004","March",222000,1028,193000,947,2004-03-01
"60","2004","June",218000,994,196000,915,2004-06-01
"61","2004","September",224000,1027,196000,954,2004-09-01
"62","2004","December",226000,1007,191000,895,2004-12-01
"64","2005","March",227000,972,196000,877,2005-03-01
"65","2005","June",232000,964,192000,845,2005-06-01
"66","2005","September",236000,1005,195000,885,2005-09-01
"67","2005","December",236000,988,2e+05,850,2005-12-01
"69","2006","March",236000,949,195000,767,2006-03-01
"70","2006","June",233000,987,206000,850,2006-06-01
"71","2006","September",224000,934,210000,843,2006-09-01
"72","2006","December",236000,976,207000,812,2006-12-01
"74","2007","March",232000,918,205000,787,2007-03-01
"75","2007","June",225000,898,215000,859,2007-06-01
"76","2007","September",233000,952,216000,845,2007-09-01
"77","2007","December",228000,922,218000,836,2007-12-01
"79","2008","March",226000,919,224000,832,2008-03-01
"80","2008","June",221000,876,238000,913,2008-06-01
"81","2008","September",216000,849,233000,881,2008-09-01
"82","2008","December",211000,819,253000,951,2008-12-01
"84","2009","March",197000,738,247000,869,2009-03-01
"85","2009","June",201000,767,238000,837,2009-06-01
"86","2009","September",192000,725,227000,793,2009-09-01
"87","2009","December",202000,728,218000,749,2009-12-01
"89","2010","March",193000,706,211000,687,2010-03-01
"90","2010","June",193000,730,202000,665,2010-06-01
"91","2010","September",207000,754,204000,701,2010-09-01
"92","2010","December",216000,805,201000,700,2010-12-01
"94","2011","March",204000,715,2e+05,632,2011-03-01
"95","2011","June",210000,767,205000,689,2011-06-01
"96","2011","September",206000,794,196000,675,2011-09-01
"97","2011","December",214000,800,198000,700,2011-12-01
"99","2012","March",236000,787,188000,614,2012-03-01
"100","2012","June",217000,799,194000,673,2012-06-01
"101","2012","September",210000,804,196000,692,2012-09-01
"102","2012","December",218000,809,183000,673,2012-12-01
"104","2013","March",205000,748,193000,648,2013-03-01
"105","2013","June",222000,789,215000,695,2013-06-01
"106","2013","September",219000,818,195000,678,2013-09-01
"107","2013","December",215000,803,187000,670,2013-12-01
"109","2014","March",220000,784,190000,635,2014-03-01
"110","2014","June",221000,806,204000,711,2014-06-01
"111","2014","September",225000,825,199000,703,2014-09-01
"112","2014","December",224000,836,198000,705,2014-12-01
"114","2015","March",233000,818,207000,696,2015-03-01
"115","2015","June",234000,838,211000,728,2015-06-01
"116","2015","September",243000,881,207000,699,2015-09-01
"117","2015","December",247000,892,209000,733,2015-12-01
"119","2016","March",236000,789,204000,671,2016-03-01
"120","2016","June",241000,838,213000,719,2016-06-01
"121","2016","September",238000,872,214000,745,2016-09-01
"122","2016","December",238000,865,217000,729,2016-12-01
"124","2017","March",242000,806,203000,668,2017-03-01
"125","2017","June",240000,848,223000,752,2017-06-01
"126","2017","September",244000,851,225000,760,2017-09-01
"127","2017","December",246000,849,216000,731,2017-12-01
"129","2018","March",248000,816,215000,668,2018-03-01
"130","2018","June",263000,879,228000,769,2018-06-01
"131","2018","September",250000,863,231000,785,2018-09-01
"132","2018","December",249000,855,222000,758,2018-12-01
"134","2019","March",260000,814,220000,700,2019-03-01
"135","2019","June",258000,846,240000,801,2019-06-01
"136","2019","September",251000,847,230000,763,2019-09-01
"137","2019","December",269000,903,235000,783,2019-12-01
"139","2020","March",278000,812,240000,737,2020-03-01
"140","2020","June",228000,659,326000,1150,2020-06-01
"141","2020","September",278000,821,232000,689,2020-09-01
"142","2020","December",287000,913,218000,688,2020-12-01
"144","2021","March",308000,836,210000,607,2021-03-01
"145","2021","June",351000,978,226000,663,2021-06-01
"146","2021","September",359000,1026,244000,734,2021-09-01
"147","2021","December",380000,1115,254000,779,2021-12-01
"149","2022","March",350000,962,255000,748,2022-03-01
"150","2022","June",365000,1062,322000,926,2022-06-01
"151","2022","September",350000,1031,294000,912,2022-09-01
"152","2022","December",343000,1044,289000,897,2022-12-01
"154","2023","March",329000,945,291000,817,2023-03-01
"155","2023","June",332000,1011,293000,887,2023-06-01
"156","2023","September",318000,980,0,0,2023-09-01
"157","2023","December",327000,1019,0,0,2023-12-01
"159","2024","March",322000,934,0,0,2024-03-01
