"","state","state_abrev","post.x","pre.x","perc_change_births","net_change_births","post.y","pre.y","perc_change_apps","net_change_apps","GEOID","NAME","variable","estimate","moe"
"1","Alabama","AL",17185,11622,0.478661159869214,5563,20311,12877,0.577308379280888,7434,"01","Alabama","B01003_001",5054253,NA
"2","Alaska","AK",2467,1974,0.249746707193516,493,2813,2852,-0.0136746143057504,-39,"02","Alaska","B01003_001",733971,NA
"3","Arizona","AZ",29831,19160,0.556941544885177,10671,36773,24058,0.528514423476598,12715,"04","Arizona","B01003_001",7268175,NA
"4","Arkansas","AR",11064,8131,0.360718238839011,2933,12541,8864,0.414824007220217,3677,"05","Arkansas","B01003_001",3032651,NA
"5","California","CA",213918,184048,0.162294618795097,29870,221057,171888,0.286052545843805,49169,"06","California","B01003_001",39242785,NA
"6","Colorado","CO",34995,25001,0.39974401023959,9994,47033,31520,0.492163705583756,15513,"08","Colorado","B01003_001",5810774,NA
"7","Connecticut","CT",15094,9208,0.639226759339705,5886,13869,10337,0.341685208474412,3532,"09","Connecticut","B01003_001",3598348,NA
"8","Delaware","DE",4685,3528,0.327947845804989,1157,17331,8552,1.02654349859682,8779,"10","Delaware","B01003_001",1005872,NA
"9","Florida","FL",116763,89641,0.302562443524726,27122,226751,163884,0.383606697420126,62867,"12","Florida","B01003_001",21928881,NA
"10","Georgia","GA",43389,37679,0.151543299981422,5710,80581,53482,0.50669384091844,27099,"13","Georgia","B01003_001",10822590,NA
"11","Hawaii","HI",4972,3853,0.290423046976382,1119,5782,4733,0.221635326431439,1049,"15","Hawaii","B01003_001",1445635,NA
"12","Idaho","ID",12643,8826,0.432472241105824,3817,9864,7610,0.296189224704336,2254,"16","Idaho","B01003_001",1893296,NA
"13","Illinois","IL",36081,31672,0.139208133367012,4409,64660,51780,0.248744689069139,12880,"17","Illinois","B01003_001",12692653,NA
"14","Indiana","IN",17348,14050,0.234733096085409,3298,28969,18536,0.562850668968494,10433,"18","Indiana","B01003_001",6811752,NA
"15","Iowa","IA",9299,8178,0.137075079481536,1121,9780,7237,0.351388696973884,2543,"19","Iowa","B01003_001",3195937,NA
"16","Kansas","KS",11825,7903,0.496267240288498,3922,10608,8185,0.29602932193036,2423,"20","Kansas","B01003_001",2937569,NA
"17","Kentucky","KY",14119,10714,0.317808474892664,3405,16507,11156,0.479652205091431,5351,"21","Kentucky","B01003_001",4510725,NA
"18","Louisiana","LA",12868,10056,0.279634049323787,2812,22460,15277,0.470183936636774,7183,"22","Louisiana","B01003_001",4621025,NA
"19","Maine","ME",6641,4653,0.427251235761874,1988,5299,3913,0.354203935599284,1386,"23","Maine","B01003_001",1377400,NA
"20","Maryland","MD",19512,15722,0.241063477929017,3790,30648,24121,0.270594088138966,6527,"24","Maryland","B01003_001",6170738,NA
"21","Massachusetts","MA",20947,24141,-0.132306035375502,-3194,29375,23586,0.245442211481387,5789,"25","Massachusetts","B01003_001",6992395,NA
"22","Michigan","MI",26983,20368,0.324774155538099,6615,41531,30107,0.379446640316206,11424,"26","Michigan","B01003_001",10051595,NA
"23","Minnesota","MN",17920,14277,0.255165651047139,3643,21801,16301,0.337402613336605,5500,"27","Minnesota","B01003_001",5713716,NA
"24","Mississippi","MS",7665,5262,0.456670467502851,2403,15979,10075,0.586004962779156,5904,"28","Mississippi","B01003_001",2951438,NA
"25","Missouri","MO",30484,24879,0.225290405562925,5605,26704,19389,0.377275774923926,7315,"29","Missouri","B01003_001",6168181,NA
"26","Montana","MT",6822,5111,0.334768147133633,1711,6540,4677,0.398332264271969,1863,"30","Montana","B01003_001",1105072,NA
"27","Nebraska","NE",7395,5942,0.244530461124201,1453,6800,5269,0.29056747010818,1531,"31","Nebraska","B01003_001",1965926,NA
"28","Nevada","NV",15725,11206,0.403266107442442,4519,19933,13905,0.433513124775261,6028,"32","Nevada","B01003_001",3141000,NA
"29","New Hampshire","NH",7387,5290,0.39640831758034,2097,4847,3603,0.345267832361921,1244,"33","New Hampshire","B01003_001",1387834,NA
"30","New Jersey","NJ",37137,30034,0.236498634880469,7103,46680,35744,0.305953446732319,10936,"34","New Jersey","B01003_001",9267014,NA
"31","New Mexico","NM",6793,5754,0.180570038234272,1039,8181,5408,0.512758875739645,2773,"35","New Mexico","B01003_001",2114768,NA
"32","New York","NY",68767,59397,0.157752075020624,9370,131557,106789,0.231934000692955,24768,"36","New York","B01003_001",19872319,NA
"33","North Carolina","NC",39883,28301,0.409243489629342,11582,52378,36728,0.426105423654977,15650,"37","North Carolina","B01003_001",10584340,NA
"34","North Dakota","ND",3492,2832,0.233050847457627,660,2956,2204,0.341197822141561,752,"38","North Dakota","B01003_001",779361,NA
"35","Ohio","OH",28160,23114,0.218309249805313,5046,41805,29554,0.414529336130473,12251,"39","Ohio","B01003_001",11780046,NA
"36","Oklahoma","OK",13961,10392,0.343437259430331,3569,18241,13857,0.316374395612326,4384,"40","Oklahoma","B01003_001",3995260,NA
"37","Oregon","OR",20208,14506,0.393078726044395,5702,17134,14089,0.216126055788204,3045,"41","Oregon","B01003_001",4238714,NA
"38","Pennsylvania","PA",35712,29248,0.221006564551422,6464,47354,34025,0.391741366642175,13329,"42","Pennsylvania","B01003_001",12986518,NA
"39","Rhode Island","RI",5500,4023,0.367138951031568,1477,3849,2956,0.302097428958051,893,"44","Rhode Island","B01003_001",1095371,NA
"40","South Carolina","SC",21913,14611,0.499760454452125,7302,25699,16101,0.596112042730265,9598,"45","South Carolina","B01003_001",5212774,NA
"41","South Dakota","SD",4024,2992,0.344919786096257,1032,3582,2540,0.410236220472441,1042,"46","South Dakota","B01003_001",899194,NA
"42","Tennessee","TN",24454,16350,0.49565749235474,8104,32404,22324,0.451531983515499,10080,"47","Tennessee","B01003_001",6986082,NA
"43","Texas","TX",91174,76060,0.198711543518275,15114,152557,106027,0.438850481481132,46530,"48","Texas","B01003_001",29640343,NA
"44","Utah","UT",18366,13951,0.31646476955057,4415,19860,14971,0.326564691737359,4889,"49","Utah","B01003_001",3331187,NA
"45","Vermont","VT",3637,2255,0.612860310421286,1382,2574,1950,0.32,624,"50","Vermont","B01003_001",645254,NA
"46","Virginia","VA",35226,31483,0.11888955944478,3743,39281,28624,0.372309949692566,10657,"51","Virginia","B01003_001",8657499,NA
"47","Washington","WA",24545,22886,0.0724897317137114,1659,31201,26064,0.197091774094537,5137,"53","Washington","B01003_001",7740984,NA
"48","West Virginia","WV",7006,3691,0.898130587916554,3315,4756,3347,0.420974006573051,1409,"54","West Virginia","B01003_001",1784462,NA
"49","Wisconsin","WI",20697,15255,0.356735496558505,5442,19569,14309,0.367600810678594,5260,"55","Wisconsin","B01003_001",5892023,NA
"50","Wyoming","WY",3615,2669,0.354439865118022,946,11396,5170,1.20425531914894,6226,"56","Wyoming","B01003_001",579761,NA
