"","state_abrev","post","pre","perc_change_births","net_change_births","state"
"1","AK",2467,2035,21.2285012285012,432,"Alaska"
"2","AL",17185,11717,46.6672356405223,5468,"Alabama"
"3","AR",11064,8145,35.8379373848987,2919,"Arkansas"
"4","AZ",29831,19093,56.2405069920913,10738,"Arizona"
"5","CA",213918,188656,13.3905097107964,25262,"California"
"6","CO",34995,25354,38.0255580973416,9641,"Colorado"
"7","CT",15094,13445,12.2647824470063,1649,"Connecticut"
"8","DC",6427,4873,31.8900061563718,1554,NA
"9","DE",4685,3508,33.5518814139111,1177,"Delaware"
"10","FL",116763,90526,28.9828336610477,26237,"Florida"
"11","GA",43389,34257,26.6573255101147,9132,"Georgia"
"12","HI",4972,3840,29.4791666666667,1132,"Hawaii"
"13","IA",9299,8984,3.50623330365093,315,"Iowa"
"14","ID",12643,8741,44.64020134996,3902,"Idaho"
"15","IL",36081,32697,10.3495733553537,3384,"Illinois"
"16","IN",17348,13579,27.756093968628,3769,"Indiana"
"17","KS",11825,7907,49.5510307322626,3918,"Kansas"
"18","KY",14119,11612,21.5897347571478,2507,"Kentucky"
"19","LA",12868,9800,31.3061224489796,3068,"Louisiana"
"20","MA",20947,24375,-14.0635897435897,-3428,"Massachusetts"
"21","MD",19512,15253,27.9223759260473,4259,"Maryland"
"22","ME",6641,4598,44.4323618964767,2043,"Maine"
"23","MI",26983,24843,8.61409652618444,2140,"Michigan"
"24","MN",17920,14644,22.3709369024857,3276,"Minnesota"
"25","MO",30484,24662,23.6071689238505,5822,"Missouri"
"26","MS",7665,5192,47.6309707241911,2473,"Mississippi"
"27","MT",6822,5142,32.6721120186698,1680,"Montana"
"28","NC",39883,28147,41.6953849433332,11736,"North Carolina"
"29","ND",3492,2760,26.5217391304348,732,"North Dakota"
"30","NE",7395,6184,19.5827943078913,1211,"Nebraska"
"31","NH",7387,5493,34.4802475878391,1894,"New Hampshire"
"32","NJ",37137,31938,16.2784144279542,5199,"New Jersey"
"33","NM",6793,6006,13.1035631035631,787,"New Mexico"
"34","NV",15725,11178,40.6781177312578,4547,"Nevada"
"35","NY",68767,57162,20.3019488471362,11605,"New York"
"36","OH",28160,23513,19.7635350657083,4647,"Ohio"
"37","OK",13961,10174,37.2223314330647,3787,"Oklahoma"
"38","OR",20208,20400,-0.941176470588235,-192,"Oregon"
"39","PA",35712,28598,24.875865445136,7114,"Pennsylvania"
"40","PR",4482,4036,11.0505450941526,446,NA
"41","RI",5500,4098,34.2118106393363,1402,"Rhode Island"
"42","SC",21913,15746,39.1655023498031,6167,"South Carolina"
"43","SD",4024,3036,32.5428194993412,988,"South Dakota"
"44","TN",24454,18707,30.7211204362004,5747,"Tennessee"
"45","TX",91174,75477,20.7970640062536,15697,"Texas"
"46","UT",18366,13812,32.9713292788879,4554,"Utah"
"47","VA",35226,27139,29.7984450421902,8087,"Virginia"
"48","VT",3637,2018,80.2279484638256,1619,"Vermont"
"49","WA",24545,22497,9.10343601369071,2048,"Washington"
"50","WI",20697,15737,31.518078413929,4960,"Wisconsin"
"51","WV",7006,5434,28.928965771071,1572,"West Virginia"
"52","WY",3615,2658,36.0045146726862,957,"Wyoming"
