"","Ref End","Construction","Retail trade","Transportation and warehousing","Accommodation and food service","Healthcare and social assistance"
"1","11/17/2024",34.6,22.7,20.9,40.1,21.4
"2","11/03/2024",33.8,24,21.9,39.4,21
"3","10/20/2024",32.1,24.1,21,40.6,22.2
"4","10/06/2024",33.7,21.3,22,41.5,20.8
"5","09/22/2024",30.8,20.8,19.4,41.7,21.2
"6","09/08/2024",30.9,21.6,21.5,41.4,22
"7","08/25/2024",30,22.3,20.2,42.1,22.3
"8","08/11/2024",29.7,21,21,43.3,21.6
"9","07/28/2024",26.5,19.5,16,35.8,17.3
"10","07/14/2024",25.1,19.2,16.7,36,19.3
"11","06/30/2024",26.7,18.1,19,35.9,19
"12","06/16/2024",27,20.1,15.7,36.9,20.1
"13","06/02/2024",29.1,20.2,16.5,35.4,20.2
"14","05/19/2024",27.1,19.5,16.7,35.1,22
"15","05/05/2024",30.6,21.8,17.7,36.8,22.6
"16","04/21/2024",26.9,21.2,18.5,39,24
"17","04/07/2024",28.7,21.4,21.4,37.3,23.5
"18","03/24/2024",31.3,22.7,18.6,37,24.2
"19","03/10/2024",31.7,22,20.5,36.7,23.3
"20","02/25/2024",29.6,21.1,18.9,38.7,25.5
"21","02/11/2024",32,24.3,21.4,39.3,23.7
"22","01/28/2024",32.9,22.9,20,39.7,24.9
"23","01/14/2024",30.9,21.6,24.1,39.5,24.2
"24","12/31/2023",30.8,22.9,22.3,40.4,22.9
"25","12/17/2023",33.3,21.9,23.1,38.5,22.6
"26","12/03/2023",31.8,21.5,21.3,42.4,24.2
"27","11/19/2023",32.4,23.2,23.3,40.9,21.9
"28","11/05/2023",31.2,22.9,22.1,41.2,23.3
"29","10/22/2023",30.8,22,21.7,40.8,22.9
"30","10/08/2023",31.1,23.7,22.5,41,22.7
"31","09/24/2023",33.2,22.5,24.4,41.9,22.5
"32","09/10/2023",31,22.5,20.7,42.5,23
