"","Ref End","1-4","5-9","10-19","20-49","50-99","100-149","200+"
"1","11/17/2024",29.6,34.6,36.3,39.2,42.8,42.7,49.8
"2","11/03/2024",29.6,33.2,35.4,37.1,42,41.7,46.8
"3","10/20/2024",29.1,34.2,36.3,39.1,41.8,49.1,47.8
"4","10/06/2024",29.3,31.9,34.1,36.3,39.3,48,50.9
"5","09/22/2024",29.2,33.3,33.4,35.9,40.7,48.4,47.6
"6","09/08/2024",28.6,32.3,34.1,37.2,39.6,44.4,47.6
"7","08/25/2024",28.8,32.5,34.6,36.8,41.2,45.2,48.3
"8","08/11/2024",29,32.1,34.4,37.7,41.4,45.4,50.4
"9","07/28/2024",23.5,29,29.2,32.3,36.3,38.6,40.7
"10","07/14/2024",23.1,27.7,30.2,33.7,37.2,37.9,45.5
"11","06/30/2024",23.6,28.2,30.6,32.6,36.7,40.7,44.5
"12","06/16/2024",24.3,29.5,31.2,33.9,38.3,41.4,45.2
"13","06/02/2024",24.3,29,32.5,34.5,37,44.3,40.9
"14","05/19/2024",24,28.6,33,35.6,39.5,42.6,44.6
"15","05/05/2024",25.6,31.2,33.5,36.9,41.8,43,43.3
"16","04/21/2024",25.9,30.2,33.5,35.4,43.7,45.4,48.2
"17","04/07/2024",25.6,30.8,33.3,37.9,40.2,43.6,50.3
"18","03/24/2024",26.2,31.6,35.2,38.2,42,46.7,49.2
"19","03/10/2024",26.9,31.2,35.7,36.2,40.5,44.9,44.5
"20","02/25/2024",27,31.4,35.3,37.6,40.1,43,49.6
"21","02/11/2024",27.9,33,36.1,39.3,44.2,44.7,46.9
"22","01/28/2024",27.7,31.9,35.8,39.9,43.3,45.6,49.2
"23","01/14/2024",27.4,32.3,35.4,37.8,45.1,46.8,48.1
"24","12/31/2023",28.3,32.3,36.5,39.1,44.8,49.2,52
"25","12/17/2023",28.2,33.7,35.7,38.9,42.9,48.4,48.7
"26","12/03/2023",27.9,32.7,35.8,40.4,43.2,46.2,48.3
"27","11/19/2023",27.8,33.9,36.4,39.6,42,45.9,48.1
"28","11/05/2023",28.3,33,35.6,39.2,43.8,45.3,49.6
"29","10/22/2023",27.5,33.4,35.3,39,43.7,45.2,52.2
"30","10/08/2023",28.2,32.6,37.1,39,44.2,47.6,54.2
"31","09/24/2023",28.6,33.6,36.6,39.3,43.5,48.4,46
"32","09/10/2023",28.3,33.2,36.1,39.9,43.3,44.9,51.8
